Enzyme1,Enzyme2,Percent_Similarity
42,62,44.843049327354265
42,7,25.26158445440957
42,37,32.28699551569507
42,71,36.32286995515695
42,57,42.600896860986545
42,47,34.08071748878923
42,76,56.20328849028401
42,16,41.106128550074736
42,28,41.85351270553064
42,27,41.106128550074736
42,49,34.82810164424514
42,25,32.73542600896861
42,44,26.45739910313901
42,70,31.53961136023916
42,58,33.78176382660688
42,12,39.46188340807175
42,33,42.30194319880419
42,73,32.28699551569507
42,60,31.390134529147986
42,64,42.89985052316891
42,68,41.70403587443946
42,38,34.379671150971596
42,30,42.152466367713004
42,2,41.70403587443946
42,53,29.895366218236173
42,22,40.50822122571002
42,3,39.76083707025411
42,24,43.796711509716
42,21,34.23019431988042
42,61,34.52914798206278
42,72,30.94170403587444
42,15,96.71150971599403
42,52,32.884902840059794
27,4,30.343796711509718
27,18,34.08071748878923
27,39,34.52914798206278
27,9,48.729446935724965
27,62,47.384155455904335
27,7,28.251121076233183
27,37,35.42600896860987
27,71,37.66816143497758
27,57,47.53363228699551
27,47,35.874439461883405
27,76,40.35874439461883
27,16,50.224215246636774
27,28,48.729446935724965
27,42,41.106128550074736
27,49,34.67862481315397
27,25,34.23019431988042
27,44,25.85949177877429
27,70,34.52914798206278
27,58,33.482810164424514
27,12,41.4050822122571
27,33,47.98206278026906
27,73,36.173393124065775
27,60,33.931240657698055
27,64,50.82212257100149
27,68,49.92526158445441
27,38,35.276532137518686
27,30,50.074738415545596
27,2,50.672645739910315
27,53,32.884902840059794
27,22,70.4035874439462
27,3,42.152466367713004
27,24,50.97159940209267
27,21,34.379671150971596
27,61,36.173393124065775
27,72,33.78176382660688
27,15,41.554559043348284
27,52,34.379671150971596
49,4,27.50373692077728
49,18,74.14050822122572
49,39,80.86696562032884
49,9,35.276532137518686
49,62,38.11659192825112
49,7,25.26158445440957
49,37,63.82660687593423
49,71,29.14798206278027
49,57,35.276532137518686
49,47,63.52765321375187
49,76,33.931240657698055
49,16,38.714499252615845
49,28,38.11659192825112
49,42,34.82810164424514
49,27,34.67862481315397
49,25,70.10463378176382
49,44,65.32137518684604
49,70,30.642750373692078
49,58,72.34678624813155
49,12,34.379671150971596
49,33,38.11659192825112
49,73,63.07922272047832
49,60,29.596412556053814
49,64,38.86397608370702
49,68,38.714499252615845
49,38,72.49626307922273
49,30,38.714499252615845
49,2,39.01345291479821
49,53,29.895366218236173
49,22,35.42600896860987
49,3,32.884902840059794
49,24,38.714499252615845
49,21,69.95515695067265
49,61,59.79073243647235
49,72,31.53961136023916
49,15,35.42600896860987
49,52,66.81614349775785
25,4,27.802690582959645
25,18,71.74887892376681
25,39,69.05829596412556
25,9,35.276532137518686
25,62,37.96711509715994
25,7,25.56053811659193
25,37,62.03288490284006
25,71,29.74588938714499
25,57,35.57548579970104
25,47,63.97608370702541
25,76,33.78176382660688
25,16,37.219730941704036
25,28,36.771300448430495
25,42,32.73542600896861
25,27,34.23019431988042
25,49,70.10463378176382
25,44,64.42451420029896
25,70,30.94170403587444
25,58,71.44992526158445
25,12,32.73542600896861
25,33,35.42600896860987
25,73,62.92974588938714
25,60,30.04484304932735
25,64,36.32286995515695
25,68,36.92077727952167
25,38,71.44992526158445
25,30,36.32286995515695
25,2,36.62182361733931
25,53,30.194319880418536
25,22,34.379671150971596
25,3,32.436472346786246
25,24,36.92077727952167
25,21,67.41405082212258
25,61,58.29596412556054
25,72,31.09118086696562
25,15,33.78176382660688
25,52,66.66666666666666
44,4,21.225710014947683
44,18,86.39760837070254
44,39,64.12556053811659
44,9,27.95216741405082
44,62,29.446935724962632
44,7,20.92675635276532
44,37,56.80119581464873
44,71,27.95216741405082
44,57,28.101644245142005
44,47,56.20328849028401
44,76,27.204783258594915
44,16,27.50373692077728
44,28,28.101644245142005
44,42,26.45739910313901
44,27,25.85949177877429
44,49,65.32137518684604
44,25,64.42451420029896
44,70,23.019431988041852
44,58,87.4439461883408
44,12,25.710014947683106
44,33,26.606875934230196
44,73,55.30642750373692
44,60,22.869955156950674
44,64,27.204783258594915
44,68,27.65321375186846
44,38,65.91928251121077
44,30,27.3542600896861
44,2,27.50373692077728
44,53,22.27204783258595
44,22,26.606875934230196
44,3,23.766816143497756
44,24,27.204783258594915
44,21,65.91928251121077
44,61,51.42002989536621
44,72,24.06576980568012
44,15,27.3542600896861
44,52,61.285500747384155
70,4,27.50373692077728
70,18,29.74588938714499
70,39,31.2406576980568
70,9,32.884902840059794
70,62,33.18385650224215
70,7,25.710014947683106
70,37,30.94170403587444
70,71,26.45739910313901
70,57,32.436472346786246
70,47,31.53961136023916
70,76,30.194319880418536
70,16,35.57548579970104
70,28,34.52914798206278
70,42,31.53961136023916
70,27,34.52914798206278
70,49,30.642750373692078
70,25,30.94170403587444
70,44,23.019431988041852
70,58,30.642750373692078
70,12,30.642750373692078
70,33,34.67862481315397
70,73,30.94170403587444
70,60,90.5829596412556
70,64,34.82810164424514
70,68,35.42600896860987
70,38,31.390134529147986
70,30,35.42600896860987
70,2,35.276532137518686
70,53,71.898355754858
70,22,32.884902840059794
70,3,30.642750373692078
70,24,36.47234678624813
70,21,30.642750373692078
70,61,31.09118086696562
70,72,44.843049327354265
70,15,31.838565022421523
70,52,29.297458893871447
58,4,28.699551569506728
58,18,94.02092675635276
58,39,71.00149476831092
58,9,35.57548579970104
58,62,36.771300448430495
58,7,26.00896860986547
58,37,63.97608370702541
58,71,30.493273542600896
58,57,35.72496263079223
58,47,62.92974588938714
58,76,34.52914798206278
58,16,34.82810164424514
58,28,35.42600896860987
58,42,33.78176382660688
58,27,33.482810164424514
58,49,72.34678624813155
58,25,71.44992526158445
58,44,87.4439461883408
58,70,30.642750373692078
58,12,33.03437967115097
58,33,33.78176382660688
58,73,62.63079222720478
58,60,30.642750373692078
58,64,34.379671150971596
58,68,34.97757847533632
58,38,72.79521674140508
58,30,34.52914798206278
58,2,34.67862481315397
58,53,29.895366218236173
58,22,34.52914798206278
58,3,31.2406576980568
58,24,34.23019431988042
58,21,72.04783258594918
58,61,58.744394618834086
