Enzyme1,Enzyme2,Percent_Similarity,E2_Sub
27.0,30.0,50.0747384155456,9.0
27.0,68.0,49.92526158445441,9.0
27.0,9.0,48.729446935724965,3.0
27.0,28.0,48.729446935724965,9.0
27.0,33.0,47.98206278026906,9.0
28.0,24.0,65.32137518684604,9.0
28.0,64.0,65.17189835575485,9.0
28.0,16.0,64.42451420029896,9.0
28.0,68.0,64.12556053811659,9.0
28.0,2.0,63.82660687593423,9.0
28.0,30.0,63.67713004484305,9.0
28.0,33.0,60.53811659192825,9.0
28.0,27.0,48.729446935724965,3.0
28.0,27.0,48.729446935724965,5.0
28.0,27.0,48.729446935724965,6.0
28.0,27.0,48.729446935724965,7.0
28.0,27.0,48.729446935724965,8.0
28.0,27.0,48.729446935724965,14.0
28.0,27.0,48.729446935724965,15.0
28.0,27.0,48.729446935724965,16.0
28.0,22.0,47.53363228699551,8.0
28.0,62.0,47.23467862481316,3.0
30.0,2.0,95.81464872944694,9.0
30.0,68.0,93.12406576980568,9.0
30.0,16.0,85.79970104633782,9.0
30.0,64.0,82.51121076233184,9.0
30.0,24.0,80.86696562032884,9.0
30.0,33.0,71.30044843049326,9.0
30.0,28.0,63.67713004484305,9.0
30.0,27.0,50.0747384155456,3.0
30.0,27.0,50.0747384155456,5.0
30.0,27.0,50.0747384155456,6.0
30.0,27.0,50.0747384155456,7.0
30.0,27.0,50.0747384155456,8.0
30.0,27.0,50.0747384155456,14.0
30.0,27.0,50.0747384155456,15.0
30.0,27.0,50.0747384155456,16.0
30.0,22.0,49.62630792227205,8.0
30.0,62.0,48.13153961136024,3.0
33.0,64.0,71.44992526158445,9.0
33.0,30.0,71.30044843049326,9.0
33.0,2.0,71.30044843049326,9.0
33.0,68.0,70.85201793721974,9.0
33.0,16.0,69.80568011958147,9.0
33.0,24.0,68.31091180866966,9.0
33.0,28.0,60.53811659192825,9.0
33.0,22.0,49.775784753363226,8.0
33.0,62.0,48.13153961136024,3.0
33.0,27.0,47.98206278026906,3.0
33.0,27.0,47.98206278026906,5.0
33.0,27.0,47.98206278026906,6.0
33.0,27.0,47.98206278026906,7.0
33.0,27.0,47.98206278026906,8.0
33.0,27.0,47.98206278026906,14.0
33.0,27.0,47.98206278026906,15.0
33.0,27.0,47.98206278026906,16.0
37.0,73.0,83.40807174887892,3.0
37.0,47.0,81.31539611360239,3.0
37.0,61.0,72.6457399103139,3.0
37.0,61.0,72.6457399103139,7.0
37.0,61.0,72.6457399103139,8.0
37.0,38.0,65.6203288490284,3.0
37.0,18.0,63.97608370702541,3.0
37.0,58.0,63.97608370702541,3.0
37.0,49.0,63.82660687593423,3.0
37.0,39.0,62.4813153961136,3.0
37.0,52.0,62.18236173393124,3.0
37.0,25.0,62.03288490284006,3.0
38.0,18.0,73.99103139013454,3.0
38.0,21.0,72.94469357249626,3.0
38.0,58.0,72.79521674140508,3.0
38.0,49.0,72.49626307922273,3.0
38.0,25.0,71.44992526158445,3.0
38.0,39.0,70.85201793721974,3.0
38.0,52.0,67.86248131539611,3.0
38.0,44.0,65.91928251121077,3.0
38.0,47.0,65.76980568011959,3.0
38.0,37.0,65.6203288490284,3.0
39.0,49.0,80.86696562032884,3.0
39.0,18.0,72.6457399103139,3.0
39.0,58.0,71.00149476831092,3.0
39.0,38.0,70.85201793721974,3.0
39.0,21.0,69.80568011958147,3.0
39.0,25.0,69.05829596412556,3.0
39.0,52.0,66.06875934230195,3.0
39.0,44.0,64.12556053811659,3.0
39.0,47.0,63.22869955156951,3.0
39.0,37.0,62.4813153961136,3.0
42.0,15.0,96.71150971599404,3.0
42.0,76.0,56.20328849028401,9.0
42.0,62.0,44.843049327354265,3.0
42.0,24.0,43.796711509716,9.0
42.0,64.0,42.89985052316891,9.0
42.0,57.0,42.600896860986545,3.0
42.0,9.0,42.45142002989537,3.0
42.0,33.0,42.30194319880419,9.0
42.0,30.0,42.15246636771301,9.0
42.0,28.0,41.85351270553064,9.0
44.0,58.0,87.4439461883408,3.0
44.0,18.0,86.39760837070254,3.0
44.0,38.0,65.91928251121077,3.0
44.0,21.0,65.91928251121077,3.0
44.0,49.0,65.32137518684604,3.0
