Enzyme1,Enzyme2,Percent_Similarity,E2_Sub,Neighbor_Substrate,Substrate_Distance,hit,Normalized_Distance,MSA_Score
2.0,16.0,85.35127055306427,9.0,15.0,6.039162766556912,0.0,0.7064888301658335,0.7215157618444937
2.0,16.0,85.35127055306427,9.0,4.0,6.049689715560571,0.0,0.70772032071747,0.7227216475223299
2.0,16.0,85.35127055306427,9.0,12.0,6.368769312558977,0.0,0.7450477086232131,0.7593119356138507
2.0,16.0,85.35127055306427,9.0,8.0,7.148131257572746,0.0,0.8362210268615727,0.84895472977443
2.0,64.0,81.31539611360239,9.0,16.0,5.406777766390262,0.0,0.6325095459087089,0.6595299598235091
2.0,64.0,81.31539611360239,9.0,14.0,5.429148081623564,0.0,0.6351265275087308,0.6620401409162869
2.0,64.0,81.31539611360239,9.0,17.0,5.578365070853041,0.0,0.6525826121079712,0.6788044695380411
2.0,64.0,81.31539611360239,9.0,6.0,5.832013957395133,0.0,0.6822556168029839,0.7073783774603083
2.0,64.0,81.31539611360239,9.0,7.0,6.0223749832025,0.0,0.704524918630146,0.7288805136714607
2.0,64.0,81.31539611360239,9.0,15.0,6.039162766556912,0.0,0.7064888301658335,0.7307789743747739
2.0,64.0,81.31539611360239,9.0,4.0,6.049689715560571,0.0,0.70772032071747,0.731969599502327
2.0,64.0,81.31539611360239,9.0,12.0,6.368769312558977,0.0,0.7450477086232131,0.7681194766205702
2.0,64.0,81.31539611360239,9.0,8.0,7.148131257572746,0.0,0.8362210268615727,0.8568413202014604
2.0,24.0,80.11958146487295,9.0,16.0,5.406777766390262,0.0,0.6325095459087089,0.6630169151528665
2.0,24.0,80.11958146487295,9.0,14.0,5.429148081623564,0.0,0.6351265275087308,0.665513944300554
2.0,24.0,80.11958146487295,9.0,17.0,5.578365070853041,0.0,0.6525826121079712,0.6821929124073667
2.0,24.0,80.11958146487295,9.0,6.0,5.832013957395133,0.0,0.6822556168029839,0.710630586713239
2.0,24.0,80.11958146487295,9.0,7.0,6.0223749832025,0.0,0.704524918630146,0.7320372019808803
2.0,24.0,80.11958146487295,9.0,15.0,6.039162766556912,0.0,0.7064888301658335,0.7339274972790366
2.0,24.0,80.11958146487295,9.0,4.0,6.049689715560571,0.0,0.70772032071747,0.735113022922068
2.0,24.0,80.11958146487295,9.0,12.0,6.368769312558977,0.0,0.7450477086232131,0.7711155505097032
2.0,24.0,80.11958146487295,9.0,8.0,7.148131257572746,0.0,0.8362210268615727,0.8595281902756916
2.0,33.0,71.30044843049326,9.0,16.0,5.406777766390262,0.0,0.6325095459087089,0.6945752311267073
2.0,33.0,71.30044843049326,9.0,14.0,5.429148081623564,0.0,0.6351265275087308,0.6969592039526964
2.0,33.0,71.30044843049326,9.0,17.0,5.578365070853041,0.0,0.6525826121079712,0.7129028627062319
2.0,33.0,71.30044843049326,9.0,6.0,5.832013957395133,0.0,0.6822556168029839,0.7401615720153929
